nameWithOwner;url;star;age;lastUpdate;releases;issuesOpen;issuesClosed;issuesProportion;pullRequests;primaryLanguage
freeCodeCamp/freeCodeCamp;https://github.com/freeCodeCamp/freeCodeCamp;329225;2439;0;0;122;15404;0.007920020773824981;15354;JavaScript
996icu/996.ICU;https://github.com/996icu/996.ICU;258495;887;0;0;0;0;None;1020;Rust
EbookFoundation/free-programming-books;https://github.com/EbookFoundation/free-programming-books;200767;2879;0;0;20;574;0.03484320557491289;3528;None
jwasham/coding-interview-university;https://github.com/jwasham/coding-interview-university;190529;1910;0;0;35;242;0.1446280991735537;250;None
vuejs/vue;https://github.com/vuejs/vue;187451;2953;0;210;321;9233;0.03476659807213257;1046;JavaScript
facebook/react;https://github.com/facebook/react;173767;3019;0;96;607;10061;0.06033197495278799;7772;JavaScript
kamranahmedse/developer-roadmap;https://github.com/kamranahmedse/developer-roadmap;169630;1628;0;4;68;464;0.14655172413793102;62;None
sindresorhus/awesome;https://github.com/sindresorhus/awesome;167746;2606;0;0;20;264;0.07575757575757576;552;Shell
tensorflow/tensorflow;https://github.com/tensorflow/tensorflow;158719;2122;0;145;3245;29445;0.11020546782136185;13159;C++
public-apis/public-apis;https://github.com/public-apis/public-apis;153317;1987;0;0;4;283;0.014134275618374558;1192;Python
twbs/bootstrap;https://github.com/twbs/bootstrap;152623;3683;0;72;310;20443;0.01516411485594091;7118;JavaScript
getify/You-Dont-Know-JS;https://github.com/getify/You-Dont-Know-JS;143453;2843;0;0;79;799;0.09887359198998748;350;None
donnemartin/system-design-primer;https://github.com/donnemartin/system-design-primer;142363;1645;0;0;119;55;2.1636363636363636;188;Python
CyC2018/CS-Notes;https://github.com/CyC2018/CS-Notes;137415;1293;0;0;75;430;0.1744186046511628;375;Java
ohmyzsh/ohmyzsh;https://github.com/ohmyzsh/ohmyzsh;132265;4383;0;0;210;3673;0.05717397222978492;2490;Shell
flutter/flutter;https://github.com/flutter/flutter;128511;2367;0;0;9365;49346;0.18978235317958903;21625;Dart
github/gitignore;https://github.com/github/gitignore;122555;3946;0;0;0;0;None;1445;None
microsoft/vscode;https://github.com/microsoft/vscode;120679;2186;0;44;5899;112862;0.05226737077138452;7388;TypeScript
trekhleb/javascript-algorithms;https://github.com/trekhleb/javascript-algorithms;117956;1254;0;0;83;152;0.5460526315789473;206;JavaScript
torvalds/linux;https://github.com/torvalds/linux;117075;3646;0;0;0;0;None;9;C
danistefanovic/build-your-own-x;https://github.com/danistefanovic/build-your-own-x;115947;1208;0;0;126;307;0.41042345276872966;84;None
TheAlgorithms/Python;https://github.com/TheAlgorithms/Python;115790;1870;0;0;8;727;0.011004126547455296;1585;Python
airbnb/javascript;https://github.com/airbnb/javascript;113691;3222;0;0;82;1018;0.08055009823182711;765;JavaScript
Snailclimb/JavaGuide;https://github.com/Snailclimb/JavaGuide;109790;1210;0;0;54;600;0.09;499;Java
jackfrued/Python-100-Days;https://github.com/jackfrued/Python-100-Days;107549;1277;0;0;424;87;4.873563218390805;12;Python
vinta/awesome-python;https://github.com/vinta/awesome-python;102112;2619;0;0;4;191;0.020942408376963352;525;Python
ytdl-org/youtube-dl;https://github.com/ytdl-org/youtube-dl;99482;3955;0;340;3758;20343;0.18473184879319668;1528;Python
d3/d3;https://github.com/d3/d3;98004;3989;0;169;3;2089;0.0014360938247965534;438;JavaScript
facebook/react-native;https://github.com/facebook/react-native;97506;2423;0;162;1590;20106;0.07908087138167712;621;JavaScript
electron/electron;https://github.com/electron/electron;96475;3061;0;803;1157;14461;0.08000829818131526;12854;C++
labuladong/fucking-algorithm;https://github.com/labuladong/fucking-algorithm;95094;557;0;0;25;240;0.10416666666666667;202;None
ossu/computer-science;https://github.com/ossu/computer-science;94623;2674;0;0;12;530;0.022641509433962263;191;None
