nameWithOwner;url;stars;age;releases;pullRequests;primaryLanguage;cbo;dit;lcom
iluwatar/java-design-patterns;https://github.com/iluwatar/java-design-patterns;69844;7.1;0;1115;Java;3.2530562347188265;1.2096577017114913;209.57785005599982
MisterBooo/LeetCodeAnimation;https://github.com/MisterBooo/LeetCodeAnimation;66831;2.8;0;73;Java;1.2;0.8;0.2
spring-projects/spring-boot;https://github.com/spring-projects/spring-boot;57102;8.9;106;4896;Java;5.407980769230769;1.3247115384615384;1706.3558898290037
elastic/elasticsearch;https://github.com/elastic/elasticsearch;56418;11.6;56;49483;Java;9.75436276130644;2.4952422939858185;6593.58112020494
kdn251/interviews;https://github.com/kdn251/interviews;53843;4.6;0;144;Java;1.2751937984496124;1.003875968992248;5.46666669
macrozheng/mall;https://github.com/macrozheng/mall;52341;3.4;1;78;Java;3.852589641434263;1.247011952191235;276.70894352000045
ReactiveX/RxJava;https://github.com/ReactiveX/RxJava;45186;8.7;225;3633;Java;3.0912541114953194;1.36273931011217;841.3823172899986
spring-projects/spring-framework;https://github.com/spring-projects/spring-framework;44255;10.8;210;3472;Java;5.992137096774194;1.6400537634408603;2736.994973919006
google/guava;https://github.com/google/guava;42310;7.3;32;1097;Java;4.449919105750846;1.877187821738491;821.9686854199992
TheAlgorithms/Java;https://github.com/TheAlgorithms/Java;40556;5.2;0;1890;Java;1.6463022508038585;1.0289389067524115;38.243918706
square/retrofit;https://github.com/square/retrofit;38680;11.0;0;1068;Java;4.106813996316759;1.1740331491712708;85.26137243400001
apache/dubbo;https://github.com/apache/dubbo;36122;9.2;38;4064;Java;5.685493827160494;1.3175925925925926;760.6181582719983
PhilJay/MPAndroidChart;https://github.com/PhilJay/MPAndroidChart;33917;7.4;44;470;Java;8.814332247557003;1.9739413680781759;96.85474514999999
airbnb/lottie-android;https://github.com/airbnb/lottie-android;31752;4.9;36;546;Java;6.284745762711864;1.271186440677966;86.06052591999999
bumptech/glide;https://github.com/bumptech/glide;31689;8.2;36;591;Java;6.225462304409673;1.2574679943100995;313.03502731799995
Blankj/AndroidUtilCode;https://github.com/Blankj/AndroidUtilCode;29810;5.1;116;188;Java;4.143070044709389;1.3591654247391953;153.105393825
NationalSecurityAgency/ghidra;https://github.com/NationalSecurityAgency/ghidra;28716;2.5;15;652;Java;8.590470593996375;2.3254982615934576;6074.377519563965
