nameWithOwner;url;stars;age;releases;pullRequests;primaryLanguage
CyC2018/CS-Notes;https://github.com/CyC2018/CS-Notes;137937;3.6;0;563;Java
Snailclimb/JavaGuide;https://github.com/Snailclimb/JavaGuide;110296;3.3;0;708;Java
iluwatar/java-design-patterns;https://github.com/iluwatar/java-design-patterns;69844;7.1;0;1115;Java
MisterBooo/LeetCodeAnimation;https://github.com/MisterBooo/LeetCodeAnimation;66787;2.8;0;73;Java
spring-projects/spring-boot;https://github.com/spring-projects/spring-boot;57049;8.9;106;4891;Java
elastic/elasticsearch;https://github.com/elastic/elasticsearch;56370;11.6;56;49338;Java
kdn251/interviews;https://github.com/kdn251/interviews;53816;4.6;0;144;Java
macrozheng/mall;https://github.com/macrozheng/mall;52265;3.4;1;78;Java
ReactiveX/RxJava;https://github.com/ReactiveX/RxJava;45149;8.7;225;3633;Java
spring-projects/spring-framework;https://github.com/spring-projects/spring-framework;44216;10.8;210;3467;Java
TheAlgorithms/Java;https://github.com/TheAlgorithms/Java;40502;5.1;0;1895;Java
square/retrofit;https://github.com/square/retrofit;38661;11.0;0;1068;Java
kon9chunkit/GitHub-Chinese-Top-Charts;https://github.com/kon9chunkit/GitHub-Chinese-Top-Charts;38432;2.0;0;12;Java
apache/dubbo;https://github.com/apache/dubbo;36107;9.2;38;4032;Java
PhilJay/MPAndroidChart;https://github.com/PhilJay/MPAndroidChart;33899;7.4;44;470;Java
airbnb/lottie-android;https://github.com/airbnb/lottie-android;31726;4.9;36;541;Java
bumptech/glide;https://github.com/bumptech/glide;31677;8.2;36;589;Java
NationalSecurityAgency/ghidra;https://github.com/NationalSecurityAgency/ghidra;28678;2.5;14;651;Java
zxing/zxing;https://github.com/zxing/zxing;28336;9.9;27;300;Java
eugenp/tutorials;https://github.com/eugenp/tutorials;27424;8.4;0;10679;Java
crossoverJie/JCSprout;https://github.com/crossoverJie/JCSprout;26380;3.7;0;107;Java
ityouknow/spring-boot-examples;https://github.com/ityouknow/spring-boot-examples;26195;4.8;0;42;Java
apolloconfig/apollo;https://github.com/apolloconfig/apollo;25407;5.5;32;1284;Java
proxyee-down-org/proxyee-down;https://github.com/proxyee-down-org/proxyee-down;25378;3.9;49;34;Java
jeecgboot/jeecg-boot;https://github.com/jeecgboot/jeecg-boot;24859;2.8;16;126;Java
alibaba/druid;https://github.com/alibaba/druid;24458;9.8;42;1105;Java
alibaba/fastjson;https://github.com/alibaba/fastjson;23749;9.8;82;742;Java
xkcoding/spring-boot-demo;https://github.com/xkcoding/spring-boot-demo;23281;3.8;0;61;Java
lenve/vhr;https://github.com/lenve/vhr;22254;3.7;0;52;Java
CymChad/BaseRecyclerViewAdapterHelper;https://github.com/CymChad/BaseRecyclerViewAdapterHelper;22243;5.4;191;271;Java
dbeaver/dbeaver;https://github.com/dbeaver/dbeaver;22035;5.9;135;2030;Java
Netflix/Hystrix;https://github.com/Netflix/Hystrix;21925;8.8;79;797;Java
SeleniumHQ/selenium;https://github.com/SeleniumHQ/selenium;21602;8.6;69;2196;Java
wuyouzhuguli/SpringAll;https://github.com/wuyouzhuguli/SpringAll;21586;3.4;0;13;Java
hollischuang/toBeTopJavaer;https://github.com/hollischuang/toBeTopJavaer;21507;2.9;0;66;Java
qiurunze123/miaosha;https://github.com/qiurunze123/miaosha;21456;3.0;0;48;Java
signalapp/Signal-Android;https://github.com/signalapp/Signal-Android;21094;9.7;0;2459;Java
alibaba/easyexcel;https://github.com/alibaba/easyexcel;21045;3.6;1;201;Java
seata/seata;https://github.com/seata/seata;20726;2.7;31;1746;Java
dromara/hutool;https://github.com/dromara/hutool;20338;7.4;99;410;Java
alibaba/spring-cloud-alibaba;https://github.com/alibaba/spring-cloud-alibaba;20018;3.8;25;708;Java
apache/kafka;https://github.com/apache/kafka;19813;10.1;0;11306;Java
halo-dev/halo;https://github.com/halo-dev/halo;19668;3.5;72;493;Java
xuxueli/xxl-job;https://github.com/xuxueli/xxl-job;19350;5.8;30;314;Java
alibaba/nacos;https://github.com/alibaba/nacos;19286;3.2;41;2071;Java
google/ExoPlayer;https://github.com/google/ExoPlayer;18216;7.2;13;1029;Java
Baseflow/PhotoView;https://github.com/Baseflow/PhotoView;17913;9.1;5;151;Java
didi/DoraemonKit;https://github.com/didi/DoraemonKit;17904;3.1;4;338;Java
jenkinsci/jenkins;https://github.com/jenkinsci/jenkins;17798;10.8;123;5682;Java
DrKLO/Telegram;https://github.com/DrKLO/Telegram;17792;7.9;68;487;Java
apache/skywalking;https://github.com/apache/skywalking;17664;5.8;46;3727;Java
redisson/redisson;https://github.com/redisson/redisson;17330;7.7;99;432;Java
bazelbuild/bazel;https://github.com/bazelbuild/bazel;17278;7.2;115;4395;Java
alibaba/Sentinel;https://github.com/alibaba/Sentinel;17254;3.4;18;711;Java
apache/flink;https://github.com/apache/flink;17062;7.3;0;17184;Java
CarGuo/GSYVideoPlayer;https://github.com/CarGuo/GSYVideoPlayer;16626;4.8;26;43;Java
linlinjava/litemall;https://github.com/linlinjava/litemall;16303;3.5;8;156;Java
elunez/eladmin;https://github.com/elunez/eladmin;16301;2.7;6;127;Java
mybatis/mybatis-3;https://github.com/mybatis/mybatis-3;16172;8.6;34;1221;Java
Tencent/tinker;https://github.com/Tencent/tinker;16000;5.0;42;136;Java
dianping/cat;https://github.com/dianping/cat;15878;8.8;0;1018;Java
oracle/graal;https://github.com/oracle/graal;15855;5.6;32;1131;Java
brettwooldridge/HikariCP;https://github.com/brettwooldridge/HikariCP;15697;7.9;0;352;Java
apache/rocketmq;https://github.com/apache/rocketmq;15280;4.8;3;1649;Java
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition;https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition;15039;8.8;0;116;Java
winterbe/java8-tutorial;https://github.com/winterbe/java8-tutorial;14998;7.5;0;41;Java
android10/Android-CleanArchitecture;https://github.com/android10/Android-CleanArchitecture;14945;7.1;0;57;Java
TeamNewPipe/NewPipe;https://github.com/TeamNewPipe/NewPipe;14890;6.0;107;1382;Java
openzipkin/zipkin;https://github.com/openzipkin/zipkin;14687;9.3;62;2108;Java
apache/shardingsphere;https://github.com/apache/shardingsphere;14497;5.6;44;7027;Java
lottie-react-native/lottie-react-native;https://github.com/lottie-react-native/lottie-react-native;14438;4.6;3;209;Java
LMAX-Exchange/disruptor;https://github.com/LMAX-Exchange/disruptor;14058;9.0;12;136;Java
lgvalle/Material-Animations;https://github.com/lgvalle/Material-Animations;13584;6.5;0;24;Java
dyc87112/SpringBoot-Learning;https://github.com/dyc87112/SpringBoot-Learning;13521;5.0;0;21;Java
alibaba/ARouter;https://github.com/alibaba/ARouter;13404;4.7;16;139;Java
Bigkoo/Android-PickerView;https://github.com/Bigkoo/Android-PickerView;12909;6.7;0;75;Java
Curzibn/Luban;https://github.com/Curzibn/Luban;12653;5.1;6;32;Java
medcl/elasticsearch-analysis-ik;https://github.com/medcl/elasticsearch-analysis-ik;12613;9.7;139;98;Java
iBotPeaches/Apktool;https://github.com/iBotPeaches/Apktool;12473;9.5;14;311;Java
greenrobot/greenDAO;https://github.com/greenrobot/greenDAO;12426;9.9;8;127;Java
justauth/JustAuth;https://github.com/justauth/JustAuth;12124;2.6;43;61;Java
eclipse/deeplearning4j;https://github.com/eclipse/deeplearning4j;12171;7.8;0;3916;Java
YunaiV/SpringBoot-Labs;https://github.com/YunaiV/SpringBoot-Labs;11815;3.0;0;15;Java
Netflix/zuul;https://github.com/Netflix/zuul;11266;8.5;5;582;Java
realm/realm-java;https://github.com/realm/realm-java;11186;9.4;0;3118;Java
jfeinstein10/SlidingMenu;https://github.com/jfeinstein10/SlidingMenu;11179;9.2;0;130;Java
androidannotations/androidannotations;https://github.com/androidannotations/androidannotations;11158;9.7;0;633;Java
apache/druid;https://github.com/apache/druid;11126;8.9;46;7538;Java
GoogleContainerTools/jib;https://github.com/GoogleContainerTools/jib;11115;3.6;129;2127;Java
Yalantis/uCrop;https://github.com/Yalantis/uCrop;10874;5.7;13;179;Java
sqshq/piggymetrics;https://github.com/sqshq/piggymetrics;10814;6.4;2;43;Java
williamfiset/Algorithms;https://github.com/williamfiset/Algorithms;10810;4.5;0;136;Java
